fix,rsci_uuid,Barcode No.,Barcode Prefix,Legacy Chemical (CAS) No.,cas 1,cas 2,cas 3,cas 4,cas 5,Chemical Formula,Chemical Name,Ak Notes
,b0ca2310-cb15-42f6-8b76-1115829c13a7,16297,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,1245abab-b4ce-4a3d-b5ab-66ea65f9e7d7,16299,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,eee422b5-319a-46d2-bba5-16e23acfa9a5,16300,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
TRUE,78b45aec-05eb-4d05-8ec8-e0fcaece15fb,19856,PIG,7440699,7440-69-9,,,,,Bi,Bismuth,reformatted
TRUE,4d3cfedc-911e-4ebd-8d9f-58c3ae6be546,16931,DYE,977001-93-6,84776-23-8,,,,,,(No chemical name provided),"977001-93-6 is FDA number for food additives (reformatted), corrected CAS number is 84776-23-8 "
TRUE,5abf97f5-b50e-4156-8cba-8315241d9ac9,17153,DYE,977001-93-6,84776-23-8,,,,,,(No chemical name provided),"977001-93-6 is FDA number for food additives (reformatted), corrected CAS number is 84776-23-8 "
TRUE,33f127de-9c92-4a83-90e6-819e6cf42c52,17154,DYE,977001-93-6,84776-23-8,,,,,,(No chemical name provided),"977001-93-6 is FDA number for food additives (reformatted), corrected CAS number is 84776-23-8 "
TRUE,44324fa0-f5b5-4914-9a9e-a7f4bd15d5b6,16922,DYE,977051-90-3,84604-17-1,,,,,,(No chemical name provided),"977051-90-3 is FDA number for food additives (reformatted), corrected CAS number is 84604-17-1"
TRUE,6999d77b-49cf-4e33-85bd-747fba35d028,17099,DYE,977051-90-3,84604-17-1,,,,,,(No chemical name provided),"977051-90-3 is FDA number for food additives (reformatted), corrected CAS number is 84604-17-1"
,df70f11c-faf2-49ae-a24e-ba3d1e9ba64c,10538,RAWI,(No CAS No. Provided),(No CAS No. Provided),,,,,CaCO3,Calcium carbonate,
