rsci_uuid,gbif_canonical_name,gbif_uri,Sample Type,Typical Use,gbif_statement,sample_type_pref_label,typical_use_pref_label,materials_pref_labels,READY_natural-synthetic,READY_mixture_type,READY_mixture_note_ratio,READY_mixture_note_technique,READY_comp_pigment_name,READY_comp_pigment_INCOLLECTION,READY_comp_pigement_type,READY_comp_pigment_dim_value,READY_comp_pigment_dim_unit,READY_comp_pigment_dim_type,READY_comp_pigment_dim_note,READY_comp_basemix_INCOLLECTION,READY_comp_basemix_name,READY_comp_basemix_type,READY_comp_basemix_dim_value,READY_comp_basemix_dim_unit,READY_comp_basemix_dim_type,READY_comp_basemix_dim_note,READY_comp1_name,READY_comp1_INCOLLECTION,READY_comp1_type,READY_comp1_dim_value,READY_comp1_dim_unit,READY_comp1_dim_type,READY_comp1_dim_note,READY_comp2_name,READY_comp2_INCOLLECTION,READY_comp2_type,READY_comp2_dim_value,READY_comp2_dim_unit,READY_comp2_dim_type,READY_comp2_dim_note,READY_comp3_name,READY_comp3_INCOLLECTION,READY_comp3_type,READY_comp3_dim_value,READY_comp3_dim_unit,READY_comp3_dim_type,READY_comp3_dim_note
0150e97a-4545-4752-ab97-acdd76626e00,,,Filler,Filler,,filler (inert additive),filler (inert additive),"[""filler (inert additive)""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01565316-7a76-434e-a85a-fabd13aca1d3,,,Ink,Colorant,,ink,,"[""ink""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0159af9a-effe-4366-8277-5d3f8a148137,,,Filler,Filler,,filler (inert additive),filler (inert additive),"[""filler (inert additive)""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0160ce8c-b643-48ef-a77c-6b8cc7891748,,,"Stone, natural",Other,,natural stone,other material,"[""natural stone""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0162e481-129d-4ebc-92e3-5904061d14d8,,,Dye,Colorant,,dye,,"[""dye""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016507f3-9b4c-4507-8742-b233d2292f1a,,,Varnish,Varnish / Protective Coating,,varnish,,"[""varnish""]",,organic - organic mixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0165bf03-8ee2-4af3-a79c-62c3c7a7c9af,,,"Paint, acrylic",Colorant,,acrylic paint,,"[""acrylic paint""]",synthetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0167db52-65bf-4c96-a829-0c87dcff3188,,,"Stone, natural",Other,,natural stone,other material,"[""natural stone""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016823d4-a752-4a93-96cd-4ef0b55ac2ac,,,Prepared mixture,,,mixtures (materials),,"[""mixtures (materials)""]",,,,,Vine Black (Kremer Pigmente),,colorant,2.73,Gram,Mass,(No note),f669a5e1-adab-4084-99ab-4f59aceb2e0a,(From reference sample: Resin (95) / Gum (5.0)),base mixture,3.664,Gram,Mass,(No note),,,,,,,,,,,,,,,,,,,,,
0169ba01-141e-4624-bdca-d12467a79532,,,Dye,Colorant,,dye,,"[""dye""]",synthetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
