rsci_uuid,Chemical Name,Mixture Type,Sample Type,Typical Use,sample_type_value_uuid,typical_use_value_uuid,mixture_type_value_uuid,mixture_type_pref_label,sample_type_pref_label,typical_use_pref_label,mixture_type_value_uuids,object_type_value_uuids
1e1774d4-ae46-43c5-8f0a-ab1e6c66bb51,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
abfd5149-c4ac-4348-bd55-9d188a3e5d49,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
df61df97-c84a-4680-9951-a9e6bddafaa4,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
4699271d-9bea-4ce9-a707-796c14a620c8,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
390d8f7c-58f0-43f4-b2b7-26ce2662c714,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
4682aa48-5e82-40a2-9e6b-7e4cbe27f620,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
311dabb5-ec62-4c4c-96e8-0bfc4b4d9ab1,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
37dc1935-4338-4b5a-af7e-5c8299bfa929,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
2b7ef29a-60d1-400b-bbf8-84b34db2e9d8,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
bee2186a-084d-44a8-a5b6-b40a8586662b,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
59c5a87d-9809-498b-bdce-111864a1fabc,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
77cc5a3b-d989-4e96-8ba6-60e7614454e0,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
b515dd2e-0c84-4184-92d6-066b6ded0a0c,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
58bac567-fc86-4714-b2a7-818c3221cc32,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
eca9d680-0691-4d3c-af18-036d51bed5d3,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
