rsci_uuid,set_uuid,Acquisition Date__begin_of_the_begin,Acquisition Date__end_of_the_begin,Acquisition Date__begin_of_the_end,Acquisition Date__end_of_the_end,acq_by_person_1_uuid,acq_by_person_2_uuid,acq_by_group_1_uuid,acq_by_group_2_uuid,acq_from_group_1_uuid,acq_from_group_2_uuid,acquisition_note,acquisition_type
4c157501-ed3b-4bd2-b063-c482d301a8d1,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
a0c71fb3-9cb8-4351-b075-973d7bcd3f02,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
46c41b35-3426-491f-8cec-323183079a81,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
4eb946bb-b200-4086-92c8-e2bfd121372d,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
74732028-668c-4d47-9301-57fa872ffa3c,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
3f54f65c-dffa-4ffe-b1d3-ee88482c1e54,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
b147adc4-65b0-44a7-aa4d-6b77df813aaa,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
741c76dd-ba35-474a-a6ee-62cfc22ce935,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
e0697f87-ce70-432a-8001-672a4873ad63,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
a16ff65d-9b70-485e-abef-d2da2d7eb85d,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
