rsci_uuid,Fire Safety,Health Safety,Other Safety,Reactivity Safety,group_uuid,fire_safety_value_uuid,health_safety_value_uuid,other_safety_value_uuid,reactivity_safety_value_uuid
b0b90f9e-ca40-457c-9e83-355a1259aac8,1.0,1.0,,0.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,02424d5d-2e33-4b0b-9ac2-aba7a2be7d4a,4fc13889-bc88-4fc5-8ae8-56748363caf4,,d4bc692c-954e-4615-bdc6-f65fa9f01a47
01f745c0-e89d-4ebf-ae78-efabe4e04e9b,1.0,1.0,,0.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,02424d5d-2e33-4b0b-9ac2-aba7a2be7d4a,4fc13889-bc88-4fc5-8ae8-56748363caf4,,d4bc692c-954e-4615-bdc6-f65fa9f01a47
14d8ba30-c7ee-4ff0-b878-bd66ffcf176b,1.0,0.0,,1.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,02424d5d-2e33-4b0b-9ac2-aba7a2be7d4a,32ee5079-c1a0-4528-b2b9-a8559cce25e4,,c5bf3543-f3a4-4050-bf90-9ee01f143773
1e27ab9b-6ea6-4017-a334-86ef8d518af4,1.0,0.0,,0.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,02424d5d-2e33-4b0b-9ac2-aba7a2be7d4a,32ee5079-c1a0-4528-b2b9-a8559cce25e4,,d4bc692c-954e-4615-bdc6-f65fa9f01a47
94322f02-2ddc-451c-940e-d12f546d8a67,1.0,0.0,,0.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,02424d5d-2e33-4b0b-9ac2-aba7a2be7d4a,32ee5079-c1a0-4528-b2b9-a8559cce25e4,,d4bc692c-954e-4615-bdc6-f65fa9f01a47
adb3ce1d-0922-4695-b3a6-ce99c6d011ca,1.0,2.0,,0.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,02424d5d-2e33-4b0b-9ac2-aba7a2be7d4a,ff7fa2f3-87ef-45dc-9d92-cb6848b776fc,,d4bc692c-954e-4615-bdc6-f65fa9f01a47
48310b12-8720-4522-a574-60b01bd37cf6,1.0,2.0,,0.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,02424d5d-2e33-4b0b-9ac2-aba7a2be7d4a,ff7fa2f3-87ef-45dc-9d92-cb6848b776fc,,d4bc692c-954e-4615-bdc6-f65fa9f01a47
7bdf9c42-9acd-4f2e-b279-dbd9ee5b7d42,1.0,2.0,,0.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,02424d5d-2e33-4b0b-9ac2-aba7a2be7d4a,ff7fa2f3-87ef-45dc-9d92-cb6848b776fc,,d4bc692c-954e-4615-bdc6-f65fa9f01a47
95caddea-5732-40a4-a03d-9bf0a13800a7,1.0,2.0,,0.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,02424d5d-2e33-4b0b-9ac2-aba7a2be7d4a,ff7fa2f3-87ef-45dc-9d92-cb6848b776fc,,d4bc692c-954e-4615-bdc6-f65fa9f01a47
65104881-c4e5-4051-810d-203a33a22885,1.0,1.0,,0.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,02424d5d-2e33-4b0b-9ac2-aba7a2be7d4a,4fc13889-bc88-4fc5-8ae8-56748363caf4,,d4bc692c-954e-4615-bdc6-f65fa9f01a47
48e17854-32f6-44e4-88ea-8349b3cbd535,,3.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,,e353d9b5-24e5-42bb-a4f5-12e1a4e1926b,,
0f4d774b-ebf2-492f-ad60-9d50a4b1535c,1.0,1.0,,0.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,02424d5d-2e33-4b0b-9ac2-aba7a2be7d4a,4fc13889-bc88-4fc5-8ae8-56748363caf4,,d4bc692c-954e-4615-bdc6-f65fa9f01a47
304eb5aa-b840-48ae-a5cb-d83779d02fa9,1.0,1.0,,0.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,02424d5d-2e33-4b0b-9ac2-aba7a2be7d4a,4fc13889-bc88-4fc5-8ae8-56748363caf4,,d4bc692c-954e-4615-bdc6-f65fa9f01a47
2e9ab597-e2fc-4c9e-87a1-60646e66a2a6,1.0,1.0,,0.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,02424d5d-2e33-4b0b-9ac2-aba7a2be7d4a,4fc13889-bc88-4fc5-8ae8-56748363caf4,,d4bc692c-954e-4615-bdc6-f65fa9f01a47
2d7494f3-5f2b-461c-bbbe-fbcf6b0cca44,1.0,1.0,,0.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,02424d5d-2e33-4b0b-9ac2-aba7a2be7d4a,4fc13889-bc88-4fc5-8ae8-56748363caf4,,d4bc692c-954e-4615-bdc6-f65fa9f01a47
0f9e2442-6935-48e0-9c78-9dd196e1b301,0.0,0.0,,0.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,b1e26e3a-b178-4e51-8ae1-261a9937a099,32ee5079-c1a0-4528-b2b9-a8559cce25e4,,d4bc692c-954e-4615-bdc6-f65fa9f01a47
fea909f7-2e19-4301-82e8-fc98b351a391,0.0,0.0,,0.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,b1e26e3a-b178-4e51-8ae1-261a9937a099,32ee5079-c1a0-4528-b2b9-a8559cce25e4,,d4bc692c-954e-4615-bdc6-f65fa9f01a47
ea149e66-8127-4376-b5e0-9bf55e608a21,1.0,1.0,,0.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,02424d5d-2e33-4b0b-9ac2-aba7a2be7d4a,4fc13889-bc88-4fc5-8ae8-56748363caf4,,d4bc692c-954e-4615-bdc6-f65fa9f01a47
0303bfc3-ab72-4408-94b2-56925a5c84f5,1.0,0.0,,1.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,02424d5d-2e33-4b0b-9ac2-aba7a2be7d4a,32ee5079-c1a0-4528-b2b9-a8559cce25e4,,c5bf3543-f3a4-4050-bf90-9ee01f143773
2edbb7da-dc14-4865-b1fa-8ef01a1e23e7,1.0,0.0,,1.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,02424d5d-2e33-4b0b-9ac2-aba7a2be7d4a,32ee5079-c1a0-4528-b2b9-a8559cce25e4,,c5bf3543-f3a4-4050-bf90-9ee01f143773
dcc8bca5-41be-4a96-a979-55f9341aba39,,2.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,,ff7fa2f3-87ef-45dc-9d92-cb6848b776fc,,
83dc3349-1783-4d49-99f4-a312e1457094,,2.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,,ff7fa2f3-87ef-45dc-9d92-cb6848b776fc,,
905949a8-9538-4b80-b40e-f376936d732e,,3.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,,e353d9b5-24e5-42bb-a4f5-12e1a4e1926b,,
8a701f3c-db14-49cd-a0f8-80e0f496d271,,3.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,,e353d9b5-24e5-42bb-a4f5-12e1a4e1926b,,
fc2e94b9-9e6f-41e1-8e91-dc4a457f0653,,3.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,,e353d9b5-24e5-42bb-a4f5-12e1a4e1926b,,
cb58a2c6-1c04-4c3c-aa36-53561ae62f2d,,2.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,,ff7fa2f3-87ef-45dc-9d92-cb6848b776fc,,
1b350275-8328-480d-b700-9980bce4bf01,,2.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,,ff7fa2f3-87ef-45dc-9d92-cb6848b776fc,,
84678a1e-2961-4780-8dac-6293806362aa,,3.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,,e353d9b5-24e5-42bb-a4f5-12e1a4e1926b,,
bd98458c-c361-4e54-ab9f-17d2134f1680,1.0,1.0,,0.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,02424d5d-2e33-4b0b-9ac2-aba7a2be7d4a,4fc13889-bc88-4fc5-8ae8-56748363caf4,,d4bc692c-954e-4615-bdc6-f65fa9f01a47
02cba09f-1f7f-433d-8d14-6a397771bba0,,2.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,,ff7fa2f3-87ef-45dc-9d92-cb6848b776fc,,
1489cceb-7a0c-4f7a-8ce3-4d5ebca9c642,,2.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,,ff7fa2f3-87ef-45dc-9d92-cb6848b776fc,,
108a0be5-2d7d-45a4-9f9b-b5bc657dfff6,,1.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,,4fc13889-bc88-4fc5-8ae8-56748363caf4,,
f5731a9a-1a00-42f1-bdcb-a9b91146e8a9,,2.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,,ff7fa2f3-87ef-45dc-9d92-cb6848b776fc,,
8debe1d3-53d0-4a77-adde-7eafa682ca77,,2.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,,ff7fa2f3-87ef-45dc-9d92-cb6848b776fc,,
43306dbd-2e7e-49d2-9304-ad5910ac654e,,2.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,,ff7fa2f3-87ef-45dc-9d92-cb6848b776fc,,
a6807386-a262-44fd-a7cf-10f2e71340d9,,2.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,,ff7fa2f3-87ef-45dc-9d92-cb6848b776fc,,
25e95aaf-f9a2-4938-a843-ad46d502687e,,2.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,,ff7fa2f3-87ef-45dc-9d92-cb6848b776fc,,
825ef17d-e535-49b9-a238-678485768391,,2.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,,ff7fa2f3-87ef-45dc-9d92-cb6848b776fc,,
c14d3535-9b35-4a1c-b24f-030c6f719bbb,,2.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,,ff7fa2f3-87ef-45dc-9d92-cb6848b776fc,,
