rsci_uuid,READY_sample_type,Chemical (CAS) No.,Chemical Formula,Chemical Name,READY_natural-synthetic
044a28ea-8f84-4c14-b21f-cb1ec7885ea6,additive,68131-40-8,,(No chemical name provided),synthetic
044c29e6-3997-4e14-8089-8dc1bf7cedb6,prepared mixture,,,,
045e0d05-29cf-4404-bd36-b7d88d4dd363,pigment,11129-60-5,,(No chemical name provided),natural
0468850e-25f9-42ad-9d62-0777cc10337b,prepared mixture,,,,
0468d463-d251-40a2-a20b-dfb19a23cb14,photographic film,,,,synthetic
046a8756-2a20-4b65-97d3-ecc6597aa8fc,wax,,,,
047118c6-c934-4bdf-85e3-4a17b8bfabfe,dye,72-48-0,C14H6O2(OH)2,"1,2-dihydroxyanthraquinone",synthetic
047231e3-1ff8-432b-9a8b-412d8915c019,prepared mixture,,,,
047a3278-19c9-4c84-bcb0-2c759e8640c5,oil,8002-03-7,,(No chemical name provided),natural
047d4e46-60e2-464f-a7bc-ed618ed026dd,ink,,,,
04815497-6526-432f-ab8a-b8d17f0a1921,prepared mixture,,,,
04817657-091d-49e2-8085-1f806a7869b3,"resin, synthetic",,,Acrylic polymer: 98 - 100%; monomers: max 9500 ppm; toluene: max 0.5%,synthetic
048dde13-92de-4088-81a0-fc602e2f541d,"paint, oil-based, water mixable",,,,synthetic
04921b6a-c063-4cce-b68e-33bde543c128,pigment,(No CAS No. Provided),(see below),(No chemical name provided),natural
04936cb6-1b0a-49b2-8883-df9bc9cd204b,"paint, acrylic",,,,synthetic
049590cb-5627-4edc-807a-e8ae363c886d,varnish,,,,
0495c015-5cee-4601-b364-b2e42cbce30f,pigment,12713-03-0 or 1309-37-1,MnO2 + Fe(OH)3,manganese dioxide + iron hydroxide,natural
04a21dec-4df7-42d4-a4a3-82144cc8d2b8,photographic paper,,,,synthetic
04a8b74d-344d-4146-91c0-18af339634ec,pigment,,,"silica, clay, iron oxides, small amount of manganese dioxide",natural
04ab2388-d3ed-4c29-8ae9-c95007cd8824,wood,,,,natural
04ab51a7-96f0-4097-ae1a-551f2ad775fe,ink,,,,
04c796fe-b972-4b99-a3f5-c7e450875eb2,pigment,(No CAS No. Provided),Fe2O3 + CaSO4,ferric oxide + calcium sulfate,
04cb10f0-27d1-4fdf-a16e-c376f730e54e,photographic film,,,,synthetic
04cc3c3f-06e0-4973-b998-55a874f6a776,"paint, oil-based, water mixable",,,,
04d0c369-a0b3-43f7-852d-5372eb545af5,"paint, oil-based, water mixable",,,,synthetic
04d58c93-62cc-4bd5-9115-4c497e2939ad,pigment,,,,natural
04e08290-0d1b-445b-a57a-005ef996f410,"paint, oil-based, water mixable",,,,synthetic
04e3ac19-8c37-4632-8b63-a2aadea6db49,"paint, gouache",,,,
04e59819-2392-4768-9cf2-9de3e649732d,pigment,1317-61-9,Fe3O4,iron oxide,natural
04ea62f9-5d4a-4483-b85e-2c2557560596,glass,,,,
04ee6352-a685-498f-9ec6-e3a5ca88d3c5,wax,,,,
04f5f149-c2f7-401c-b332-6331ed6aef52,"stone, natural",,,,natural
04f6b482-fd2a-4f0f-a408-7165d01fe1bc,varnish,85029-58-9,,(No chemical name provided),
04fde7bb-b897-4f1d-8660-caa8b93a57ef,"stone, natural",,,,natural
0506cb15-ced4-4f6b-adc5-7a62a3cbcd4c,wax,,,,
0508ea3a-7d0a-49a0-929f-b5eab19d7951,"paint, watercolor",,,,
050ab3c1-bc98-4658-9cfe-ff33fe7c1864,"paint, oil-based",,,,
050c187b-237a-4508-8a0e-b56949635908,photographic paper,,,,synthetic
050c53fa-f503-4fa6-8d48-a4a97bf7ee47,wood,,,,natural
05106185-9410-44a3-aab4-68b94d00026a,glass,,,,natural
0510c129-5720-4c30-bcda-27a1ec0fff17,pigment,,,"iron oxide, clay, aluminum, and manganese",
05129271-f0a8-4287-a6c2-ff833aa35d34,"paint, other",,,,
05146b8e-68c7-4ea2-a230-6761a0adba25,"raw material, inorganic",10099-79-3,Pb(VO3)2,Lead vanadate,natural
0517fab4-68eb-46ab-8493-331e8c63d2a0,pigment,,,iron oxide,synthetic
051901ea-b06a-4713-b3e8-be6dab5a267d,pigment,58339-34-7 or 62930-81-8,"CdS, CdSe",cadmium sulfoselenide,
051acb40-2409-4539-8735-055445c2fe47,"paint, watercolor",,,,
052424cf-b069-4b81-bb11-911810d6dff7,"raw material, inorganic",1332-58-7,Al2Si2O5(OH4),Hydrated aluminum silicate,natural
0526bab6-7677-4575-8966-ec2555f70488,oil,8001-26-1,,"mostly glycerides of linoleic, linolenic and oleic acids",natural
05289ce0-b63a-4742-a8f9-1479413bffa5,wood,,,,natural
0538fa40-18e2-4333-ab70-6935a2c9b4b8,dye,480-40-0,C15H10O4,"5,7-Dihydroxyflavone",natural
053acd49-1b18-4fd5-8b1d-e03bf0d91e35,photographic film,,,,synthetic
053dced6-366d-498a-831b-21a782bae740,"raw material, organic",,,,natural
05495b7c-1273-4e0f-a1fe-40b8078382b7,"stone, natural",,,,natural
054b032e-da17-4ec4-8d51-2ac540476493,"raw material, inorganic",(No CAS No. Provided),3MnO-Al2O3-3SiO2,Manganese aluminum silicate,natural
054d352d-dcb3-4064-9be0-a13041088c5a,pigment,,,,
05560ea1-2c78-4d2f-a977-43e8798dcfd6,prepared mixture,,,,
055b646b-ff08-49eb-9771-ae5064517481,"raw material, inorganic",14807-96-6,Mg3Si4O10(OH)2,Hydrated magnesium silicate,natural
05673ec1-cb9f-4713-bb18-85cdef36f7c8,"paint, acrylic",,,"barium sulfate, cadmium sulfide, zinc sulfide (Cu chloride doped)",
056740e5-a98e-4769-9576-32811a45743a,"paint, watercolor",,,,
056bdecd-a415-4e90-8e9d-561d24d40220,wood,,,,natural
056edb10-1546-47bf-9753-c125e7cde483,prepared mixture,,,,
05734b21-1b17-4cec-ba4a-230f0c9129fd,gum,,,,natural
0577a684-bfb4-4323-a3f2-c1ea17b842e9,gum,,,,natural
057fb34d-fbe0-465c-a6fd-87e5be9b6228,protein,,,,natural
0580871d-392f-4472-bb7f-1c443c437166,"paint, acrylic",,,,synthetic
0582a1a7-04f8-4801-b920-4defa89c23bb,dye,18499-92-8,C16H10O8,(No chemical name provided),natural
05866bed-d91f-4417-97fe-acff1e2822de,protein,9006-50-2,,(No chemical name provided),natural
0588d391-cfe8-4c0b-b054-ae92820d2a1d,"paint, oil-based",,,,
0592c298-146a-443a-abdc-14213746e217,gum,,,,
05967129-a72f-4fe3-8097-fcf920f4bfd9,"paint, oil-based, water mixable",,,,synthetic
059bbe8c-7afd-4d6d-913c-780b6679b71a,"paint, oil-based",,,,
05a2c2c0-8b75-45b2-9bde-75cd24a3b4f4,pigment,1333-86-4,C,carbon,
05ad4b9b-aea2-4b9c-9319-4799c52a8094,"paint, watercolor",,,,
05aeab91-4096-4fef-b3d2-7973ceb394c8,glass,,,lead silicate,synthetic
05afdd09-b227-40e2-82dc-3894b8988309,"paint, other",147-14-8,C32H16N8Cu,(No chemical name provided),synthetic
05b7b5c1-91e3-4e5c-a8a0-58b30683c2a7,"paint, oil-based",,,chlorinated copper phthalocyanine,synthetic
05bb95b9-5702-4a7c-83ec-640785175d27,"resin, natural",,,,natural
