rsci_uuid,specific_place_uri_1,specific_place_uri_2,place_uuid_1,geo_point_1,place_uuid_2,geo_point_2
52c442c8-3616-4056-9242-88b956485d38,https://www.geonames.org/5279468,,eb016411-0bb9-4958-94be-ac82e2b61b09,"{""type"": ""Point"", ""coordinates"": [-90.00041, 44.50024]}",,
0d739ba8-18c8-47f4-a362-c3c9850797a8,https://www.geonames.org/4331987,,20c106ff-439c-4288-9785-3cb2cc52d25f,"{""type"": ""Point"", ""coordinates"": [-92.0004, 31.00047]}",,
f7fe36ae-a923-4734-8b52-dee57dc0f420,https://www.geonames.org/5279468,,eb016411-0bb9-4958-94be-ac82e2b61b09,"{""type"": ""Point"", ""coordinates"": [-90.00041, 44.50024]}",,
2557ddef-32c0-4f29-a9bc-ff6ec843a25b,https://www.geonames.org/5128638,,92bdf162-91d4-464d-8f60-3c0e3670742d,"{""type"": ""Point"", ""coordinates"": [-75.4999, 43.00035]}",,
ac320f30-ff3e-47fe-8914-0607a0b8c48d,https://www.geonames.org/6255146,,98a39fc9-1aeb-4405-addd-43bba971a428,"{""type"": ""Point"", ""coordinates"": [21.09375, 7.1881]}",,
3cbad33f-6be0-4bd7-a604-04622b416312,https://www.geonames.org/4736286,,79ca6d79-7804-4376-9b38-6e07205c2772,"{""type"": ""Point"", ""coordinates"": [-99.25061, 31.25044]}",,
3abdb0ae-db81-41db-8ced-b9c291d22c31,https://www.geonames.org/2921044,,db85b422-ea1b-4de9-b3e5-2199aab0fafb,"{""type"": ""Point"", ""coordinates"": [10.5, 51.5]}",,
aab93078-f341-400f-84d5-fc25a1df7c69,https://www.geonames.org/1694008,,b361c7a3-5a97-42b5-9291-fae0eb304875,"{""type"": ""Point"", ""coordinates"": [122.56155, 13.40882]}",,
9ce9b6a8-e837-44dd-8952-d28002b9d4c3,https://www.geonames.org/3625428,,6c4dbd10-8158-411f-a659-c938ba077b52,"{""type"": ""Point"", ""coordinates"": [-66.0, 8.0]}",,
67b94296-cddd-4c0a-8907-1f38de285961,https://www.geonames.org/3996063,,f4c44e22-201b-45c9-9f0b-0c4d9c3acdb9,"{""type"": ""Point"", ""coordinates"": [-102.0, 23.0]}",,
ba911696-e9b6-4388-9033-6487334771cb,https://www.geonames.org/2186224,,5e8bbd53-5fbf-46ac-9e84-b3c921eceae6,"{""type"": ""Point"", ""coordinates"": [174.0, -42.0]}",,
c1eaa0ae-0501-48d4-b49b-35d0ec5c9622,https://www.geonames.org/5279468,,eb016411-0bb9-4958-94be-ac82e2b61b09,"{""type"": ""Point"", ""coordinates"": [-90.00041, 44.50024]}",,
28ea66f4-6707-4eb8-b683-752722a10d7e,https://www.geonames.org/1643084,,94412e29-ff20-4bc5-853a-a5687d78f361,"{""type"": ""Point"", ""coordinates"": [120.0, -5.0]}",,
7d05d121-0a92-430f-96db-ae98c7fb3b8b,https://www.geonames.org/3625428,,6c4dbd10-8158-411f-a659-c938ba077b52,"{""type"": ""Point"", ""coordinates"": [-66.0, 8.0]}",,
c8d126a7-4e39-40a1-a309-41c3aeaf89f0,https://www.geonames.org/6255146,,98a39fc9-1aeb-4405-addd-43bba971a428,"{""type"": ""Point"", ""coordinates"": [21.09375, 7.1881]}",,
9a6447fc-bc21-42d9-990b-1db57dabf095,https://www.geonames.org/3703430,,20b2a239-7091-4461-a4d7-8fe97df89fe6,"{""type"": ""Point"", ""coordinates"": [-80.0, 9.0]}",,
85dff587-f742-4eab-9c46-c366ab4186ea,https://www.geonames.org/3469034,,f4aa9811-2484-4374-ae91-0361b6569502,"{""type"": ""Point"", ""coordinates"": [-55.0, -10.0]}",,
13c178f6-ce5c-4f5b-82bd-1972583df00b,https://www.geonames.org/6269131,,c82ad3b5-fc69-4930-abfc-8cd06f28534a,"{""type"": ""Point"", ""coordinates"": [-0.70312, 52.16045]}",,
b6d94d85-abd7-46ea-b8e0-5308a63adf09,https://www.geonames.org/5815135,,70ad6d87-d854-4e9f-8be0-f641d8979e1f,"{""type"": ""Point"", ""coordinates"": [-120.50147, 47.50012]}",,
9bcd20f7-5d25-40a0-ad8b-fb0015b4f59b,https://www.geonames.org/4331987,,20c106ff-439c-4288-9785-3cb2cc52d25f,"{""type"": ""Point"", ""coordinates"": [-92.0004, 31.00047]}",,
ae4c7d78-62a5-48d0-a569-6129325e6641,https://www.geonames.org/5279468,,eb016411-0bb9-4958-94be-ac82e2b61b09,"{""type"": ""Point"", ""coordinates"": [-90.00041, 44.50024]}",,
