resourceinstanceid,graphid,graphpublicationid,principaluser_id,common_name_tileid,common_name_name_content,common_name_name_type_,common_name_name_language_,barcode_no_tileid,barcode_no_identifier_content,barcode_no_identifier_type,tileid,facet_type,facet_type_metatype,additional_names_tileid,additional_names_name_content,additional_names_name_type_,additional_names_name_language_
f105cba0-bb09-4517-8873-26bae1df645a,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,2aab0053-9100-4717-8704-e0e9f593d028,"{""en"": {""value"": ""Ireme-Emeri"", ""direction"": ""ltr""}}",[],[],c45a77ad-677c-4570-91e7-f224ad3d2a81,"{""en"": {""value"": ""10031"", ""direction"": ""ltr""}}",[],7ec86291-a1da-4dfa-80ce-a805fcf4f3ff,[],[],,,,
029ab7c9-d52e-4ffb-8533-b4179722b248,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,33f2f977-21d1-4328-ad95-004ec102c93f,"{""en"": {""value"": ""Gum, Black"", ""direction"": ""ltr""}}",[],[],b400ef5f-c56a-471a-a41d-80ec4c4ffd1b,"{""en"": {""value"": ""10032"", ""direction"": ""ltr""}}",[],83236ab7-ccb6-43b9-ac0e-952d0b50be2a,[],[],,,,
957ac73f-a8ae-43a6-a8b2-dba1c196535b,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,9abee863-7d53-4497-b8b1-7d81605bef09,"{""en"": {""value"": ""Pine, Ponderosa"", ""direction"": ""ltr""}}",[],[],a616f74d-ac16-40d1-af06-522b20d340d4,"{""en"": {""value"": ""10033"", ""direction"": ""ltr""}}",[],0c71e9d0-fc73-482b-8dc4-a3451fc6141e,[],[],,,,
a9b117e0-1619-4f2f-b293-0bb14394637d,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,fdb698ef-3a40-4a52-81d4-78659e562a31,"{""en"": {""value"": ""Cedar, Western red"", ""direction"": ""ltr""}}",[],[],3583e5cb-005d-4948-82af-e2dd27025e36,"{""en"": {""value"": ""10034"", ""direction"": ""ltr""}}",[],800c42f9-b692-49aa-9b5c-8f7b1f4e1f4c,[],[],,,,
4de474df-6b3f-4c1d-9da8-3a429a88ddad,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,9eb840dd-f1af-410e-8c19-2c4f114db019,"{""en"": {""value"": ""Teak"", ""direction"": ""ltr""}}",[],[],fa377338-1c43-4886-adf0-8bd8cc7d5f3a,"{""en"": {""value"": ""10035"", ""direction"": ""ltr""}}",[],f2cfac47-9458-4ab3-bbe2-089e745180a8,[],[],,,,
fefcc897-7abe-49e2-ba5b-71ea37f17252,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,2d80df7e-25b7-440b-a950-051aaac0ea23,"{""en"": {""value"": ""Obeche - lavoga"", ""direction"": ""ltr""}}",[],[],c01976c6-f831-4826-a67f-b70db1a27d1e,"{""en"": {""value"": ""10036"", ""direction"": ""ltr""}}",[],9553cfaf-9c76-4786-8e97-ffb69aedb84f,[],[],,,,
b7ed8261-d988-453d-969b-b216a83cfccb,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,51236700-c425-4074-a01b-38c705a281ae,"{""en"": {""value"": ""Utile"", ""direction"": ""ltr""}}",[],[],0669ccd4-2042-4629-9945-a1c318be53f7,"{""en"": {""value"": ""10037"", ""direction"": ""ltr""}}",[],2dbd43c5-9bc8-4b45-a634-39971645092d,[],[],,,,
cfb5f62f-6b58-4193-bb11-56e602e14f2d,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,9ab6634e-4e34-455e-b614-378a6ea6fdf0,"{""en"": {""value"": ""Pine, Sugar"", ""direction"": ""ltr""}}",[],[],802c3f2d-d7a2-4ae6-bb55-3d0a46791b83,"{""en"": {""value"": ""10038"", ""direction"": ""ltr""}}",[],d5f8af4c-074f-492e-a942-d9704b86fde4,[],[],,,,
223514ad-2eda-4bd7-bf1b-d684703d27cb,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f494dbf7-ec97-44b9-80f8-f009cac5da8a,"{""en"": {""value"": ""Cherry, Japanese"", ""direction"": ""ltr""}}",[],[],f3f8108d-b570-41c3-922d-eb33a9305a8a,"{""en"": {""value"": ""10039"", ""direction"": ""ltr""}}",[],cf94fc89-c559-47cd-a920-4a942fbaae0b,[],[],,,,
95eb0e79-b897-4b39-9efa-8b20f4cde280,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,2d7c6674-e78c-41e8-b81d-1a8429f0a639,"{""en"": {""value"": ""Cherry, Black"", ""direction"": ""ltr""}}",[],[],1855d561-d925-460c-a78b-7818cd0b63e6,"{""en"": {""value"": ""10040"", ""direction"": ""ltr""}}",[],fbe6bca4-53c0-4a4c-a3ee-0f55e5668e13,[],[],,,,
