rsci_uuid,READY_dim1_value,READY_dim1_lowestvalue,READY_dim1_highestvalue,READY_dim1_unit,READY_dim1_type,READY_dim1_note,READY_dim2_value,READY_dim2_lowestvalue,READY_dim2_highestvalue,READY_dim2_unit,READY_dim2_type,READY_dim2_note
351fa69c-ed9b-4c77-acf8-a9fd35fb4cc4,,,,,,,,,,,,
996d3b32-9443-4219-8ed2-8731e3eacfa9,,,,,,,,,,,,
9f9a08b3-1e51-48ab-9ce3-9f144f3ba8d3,,,,,,,,,,,,
90e5da95-791e-4876-affd-2867df9cbfb0,,,,,,,,,,,,
8ecb1cd6-7973-491d-bbfc-b458202ed9c3,,,,,,,,,,,,
d4bf7a80-3fa0-4358-a4e0-1d0e2d637837,,,,,,,,,,,,
0f1dfaf1-e785-4287-81e7-37374f8fda53,,,,,,,,,,,,
1c47777f-aefe-4d98-89ca-9d34bc5135f4,,,,,,,,,,,,
d5ee861f-2e2d-493b-ad9e-c0f2ca9e6841,,,,,,,,,,,,
4f003edf-1398-40a7-97ca-6f638a820afd,,,,,,,,,,,,
c117f9ec-e71b-4d47-81e3-857e931fc4f9,,,,,,,,,,,,
ffa0764c-e1c2-4123-a6b9-fbcec871aa42,,,,,,,,,,,,
c4f43e1e-907a-4ff6-9f78-142bf8bd093b,,,,,,,,,,,,
96844955-6ea3-4743-bcbb-4704ab64f3ca,,,,,,,,,,,,
be516092-01c6-42df-9d9a-74458d26379e,,,,,,,,,,,,
32a9fe78-9971-4d5f-bd15-60767ddf1817,,,,,,,,,,,,
e215a063-8b5a-4d33-8364-5c3ad258cc9c,,,,,,,,,,,,
5fc9b15a-bb86-4c58-851d-6f776ab2b5e4,,,,,,,,,,,,
582035de-71c0-4ba5-8cfc-39a1d062e6dd,,,,,,,,,,,,
d3f0ce36-9daa-4aa4-8b05-7ba0c057ecba,,,,,,,,,,,,
e05038ec-cf92-4dc2-869b-57dd2b94657c,,,,,,,,,,,,
6ceef742-9865-4e4f-978f-e15f7a8e2e9d,,,,,,,,,,,,
d7c817b3-f5d8-4b15-a17a-b90d8e64554c,,,,,,,,,,,,
8fd27256-0f90-4cfa-8b95-42790db39b46,,,,,,,,,,,,
006dce28-cff2-4582-b72c-247d3c12a0a0,,,,,,,,,,,,
b12b3c26-f510-4d7d-ac97-82e140b42201,,,,,,,,,,,,
c180c746-3d2c-4f58-a3a9-7d93cb1fcbb2,,,,,,,,,,,,
0f97418f-c861-4430-a7e5-31f8880cb509,,,,,,,,,,,,
8aaf7f4b-2578-4e2b-9695-b7ec67599ede,,,,,,,,,,,,
11d10088-f11e-4a36-8709-d8b144f97d80,,,,,,,,,,,,
011df805-5197-4fa8-807e-cc4737f69110,,,,,,,,,,,,
5da98d7f-a410-4c91-b1ba-12114f564c70,,,,,,,,,,,,
c285d87d-1d34-492d-b655-90b1517c44fd,,,,,,,,,,,,
e36564e4-e02b-42da-985b-29a0c815d104,,,,,,,,,,,,
b438bc21-a36d-48e0-86e6-929159245777,,,,,,,,,,,,
0643b6a2-86d5-4133-84fa-8238f5ada648,,,,,,,,,,,,
19571c0e-9bb2-45a7-bbd6-9af3e5850259,,,,,,,,,,,,
b63fbd77-69b4-40f1-950a-9a18f761ca9b,,,,,,,,,,,,
08bd5057-e489-4b74-8472-b29776ffa93f,,,,,,,,,,,,
9e907b76-4aad-443d-a26c-8a5be8427d09,,,,,,,,,,,,
0e78687e-0083-4b90-9af8-ecf4e50cb997,,,,,,,,,,,,
e7ed368a-d5de-4c7f-9651-a9b2e5e6d732,,,,,,,,,,,,
89609fa3-09ad-4db7-b89b-86890048e03f,,,,,,,,,,,,
11b73900-cc27-4d80-b0f3-f9ef6ba7e79d,,,,,,,,,,,,
66865fb6-c4f7-45be-8bd2-bac0b2393cb4,,,,,,,,,,,,
bf91a16e-ef90-4d58-9405-9daabf23f853,,,,,,,,,,,,
2ac2350a-98af-4f91-88d4-596f529f9ad0,,,,,,,,,,,,
701a8dca-cd7b-4804-88b9-79cc7238ffc3,,,,,,,,,,,,
d739bb33-7ad6-4575-b571-abc91f964aed,,,,,,,,,,,,
d3edfd1d-8bc6-4cf7-911b-74ca02fe3dec,,,,,,,,,,,,
30a04511-88f2-4bdc-96f5-a1c107d9f9ef,,,,,,,,,,,,
52356b74-f068-46bb-876c-653d0e1ca9b3,,,,,,,,,,,,
6f91f212-8a6e-4605-b79d-35716220dcf3,,,,,,,,,,,,
f1994884-847b-49c5-8d70-8a3ecaf31af3,,,,,,,,,,,,
3f98bbfd-119b-492a-b978-56845a5afc94,,,,,,,,,,,,
9d6a4281-ac9b-4163-ae53-9186c3b9d19a,,,,,,,,,,,,
3e377095-f8be-4369-962e-f19d1185135a,,,,,,,,,,,,
15c1337c-e966-4d17-9417-57f422066717,,,,,,,,,,,,
08b04cc1-2f55-4365-bee9-1cd0ce1d5067,,,,,,,,,,,,
aad99332-f3c1-4d9d-b91f-40d4d4d24e1e,,,,,,,,,,,,
5b499919-952b-44f5-a3c7-49c09ee187d0,,,,,,,,,,,,
07f95f38-e712-481d-9825-c84ff90ef8e5,,,,,,,,,,,,
a368ada7-c0bb-47da-a662-f1b3b5aacf1f,,,,,,,,,,,,
308e5fed-5790-4ca8-9c90-163b76b31007,,,,,,,,,,,,
df1b6548-35ad-4f9e-9e34-6b41565d0586,,,,,,,,,,,,
8822c854-f373-4865-aab7-3b7d71b17006,,,,,,,,,,,,
fb674044-4caa-478b-99c2-f01813d47d0b,,,,,,,,,,,,
f7741b53-f59a-46f7-949c-84211dadd26a,,,,,,,,,,,,
4d29e195-3ff9-4160-bf2d-aa704d9b724f,,,,,,,,,,,,
533e2ebf-0115-40dd-ac9f-18fcb9624223,,,,,,,,,,,,
3fc74b73-c47e-4c13-8300-56b42e579d4d,,,,,,,,,,,,
2e464ce5-f9a4-4cd1-aafb-937ee4a5758f,,,,,,,,,,,,
dfc0151c-1def-4453-9cc5-d864e1fdae93,,,,,,,,,,,,
259e9aa1-9934-484d-9d72-83f0988965dd,,,,,,,,,,,,
68f58a23-7010-410b-b7bd-36a51e81cb6f,,,,,,,,,,,,
