resourceinstanceid,graphid,graphpublicationid,principaluser_id,chem_tileid,chem_material_data_assignment_name_content,chem_nodegroupid,chem_material_data_assignment_name_type,chem_material_data_assignment_name_language
f61eaf44-6c9d-4cb8-9a87-dca9066ae0cc,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,615792f1-b7d6-4889-ba59-dbfb4aa82a50,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
1890b9fa-482b-4038-b2ca-0355e2819cce,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,251a36ed-e2ac-48e6-bf33-193ac37467ae,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
3aa4d330-1d4c-47ed-8aa6-dbf96904c5fe,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,bb0c8086-b1d3-402c-bd91-1408e47e34c4,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
59a67964-fa16-44b7-8a9b-71f24e1bd0fe,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,6b3092b5-b22f-40fc-ad05-1cd8554e925c,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
aa649532-f7e6-420e-ad69-4cdd5316b007,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,fbd90a85-b0ed-490d-a093-79c1a18ae5b3,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
1ee92b66-37fa-44d6-9c28-8e80c20afdd8,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,1bce05c0-57b4-4aff-8e3f-8b1b0dd053ed,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
74939eb5-3a0a-4de0-adc6-c73a26949a38,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,0f9eced2-e2c8-4d7c-a391-0444869254b3,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
701b13c8-3114-4c7e-a5b8-525607cea3f6,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,e08fa347-062c-4750-a379-0c49de196dbc,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
d83986bf-6149-4ad8-9b6c-adfd74b88ce3,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,36c6a8ad-f492-47f0-94f6-2f853d5a3054,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
2dc8cbba-9d4b-4bde-97fc-fb05eb2cbac3,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,0fd6f7f4-b6c3-4247-8833-08760eb6886b,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
