 6.2146,      -5
 6.2246,       4
 6.2346,      10
 6.2446,      15
 6.2546,      20
 6.2646,      55
 6.2746,     116
 6.2846,     169
 6.2946,     253
 6.3046,     379
 6.3146,     463
 6.3246,     602
 6.3346,     801
 6.3446,     914
 6.3546,    1079
 6.3646,    1330
 6.3746,    1427
 6.3846,    1604
 6.3946,    1752
 6.4046,    1838
 6.4146,    1803
 6.4246,    1984
 6.4346,    1805
 6.4446,    1720
 6.4546,    1502
 6.4646,    1341
 6.4746,    1212
 6.4846,    1039
 6.4946,     891
 6.5047,     698
 6.5147,     529
 6.5247,     437
 6.5347,     345
 6.5447,     228
 6.5547,     182
 6.5647,     118
 6.5747,      70
 6.5847,      44
 6.5947,      16
 6.6047,      28
 6.6147,       1
 6.6247,     -29
 6.6347,     -34
 6.6447,     -19
 6.6547,     -22
 6.6647,      -4
 6.6747,     -28
 6.6847,     -27
 6.6947,     -46
 6.7047,     -24
 6.7147,     -18
 6.7247,     -20
 6.7347,     -11
 6.7447,     -18
 6.7547,     -15
 6.7647,     -42
 6.7747,     -39
 6.7847,     -20
 6.7947,     -27
 6.8047,      -8
 6.8147,     -19
 6.8247,     -31
 6.8347,      -1
 6.8447,     -19
 6.8547,     -30
 6.8647,     -20
 6.8747,     -21
 6.8847,     -34
 6.8947,       1
 6.9047,     -10
 6.9147,       0
 6.9247,       8
 6.9347,      31
 6.9447,      72
 6.9547,      64
 6.9647,      75
 6.9747,      99
 6.9847,      76
 6.9947,     128
 7.0047,     118
 7.0147,     171
 7.0247,     198
 7.0347,     200
 7.0447,     228
 7.0547,     209
 7.0647,     263
 7.0747,     263
 7.0847,     284
 7.0947,     242
 7.1047,     226
 7.1147,     237
 7.1247,     208
 7.1347,     151
 7.1447,     118
 7.1547,      73
 7.1647,      75
 7.1747,      63
 7.1847,      41
 7.1947,      30
 7.2047,     -10
 7.2147,      -9
 7.2247,     -43
 7.2347,     -38
 7.2447,     -38
 7.2547,     -28
 7.2647,     -74
 7.2747,     -55
 7.2847,     -66
 7.2947,     -90
 7.3047,     -65
 7.3147,     -61
 7.3247,     -61
 7.3347,     -60
 7.3447,     -45
 7.3547,     -40
 7.3647,     -34
 7.3747,     -76
 7.3847,     -23
 7.3947,     -39
 7.4047,     -33
 7.4147,     -13
 7.4247,     -26
 7.4347,     -57
 7.4447,     -55
 7.4547,     -31
 7.4647,     -31
 7.4747,     -49
 7.4847,     -29
 7.4947,     -61
 7.5048,     -25
 7.5148,     -59
 7.5248,     -35
 7.5348,     -60
 7.5448,     -65
 7.5548,     -47
 7.5648,     -43
 7.5748,     -40
 7.5848,     -62
 7.5948,     -86
 7.6048,     -76
 7.6148,     -65
 7.6248,    -106
 7.6348,     -56
 7.6448,     -75
 7.6548,     -72
 7.6648,     -81
 7.6748,     -57
 7.6848,     -75
 7.6948,     -76
 7.7048,     -80
 7.7148,     -83
 7.7248,     -81
 7.7348,     -97
 7.7448,     -70
 7.7548,     -82
 7.7648,     -95
 7.7748,     -71
 7.7848,    -101
 7.7948,    -111
 7.8048,     -99
 7.8148,    -124
 7.8248,     -75
 7.8348,     -73
 7.8448,    -112
 7.8548,    -103
 7.8648,     -78
 7.8748,     -87
 7.8848,     -84
 7.8948,     -80
 7.9048,    -105
 7.9148,    -101
 7.9248,     -66
 7.9348,    -102
 7.9448,    -137
 7.9548,    -129
 7.9648,    -109
 7.9748,     -99
 7.9848,    -102
 7.9948,     -89
 8.0048,     -82
 8.0148,     -79
 8.0248,     -93
 8.0348,     -78
 8.0448,     -84
 8.0548,     -80
 8.0648,     -89
 8.0748,     -91
 8.0848,     -93
 8.0948,     -49
 8.1048,    -143
 8.1148,    -100
 8.1248,    -109
 8.1348,     -66
 8.1448,    -120
 8.1548,    -133
 8.1648,    -159
 8.1748,    -121
 8.1848,     -96
 8.1948,     -86
 8.2048,    -113
 8.2148,     -90
 8.2248,    -156
 8.2348,    -136
 8.2448,    -126
 8.2548,    -137
 8.2648,    -144
 8.2748,    -121
 8.2848,    -140
 8.2948,    -125
 8.3048,    -143
 8.3148,    -128
 8.3248,    -147
 8.3348,    -139
 8.3448,    -133
 8.3548,    -156
